ENSGMOP00000007174	ENSP00000309415
ENSGMOP00000010698	ENSP00000355890
ENSGMOP00000002538	ENSP00000348163
ENSGMOP00000010026	ENSP00000270792
ENSGMOP00000010756	ENSP00000168216
ENSGMOP00000007173	ENSP00000285735
ENSGMOP00000020357	ENSP00000364145
ENSGMOP00000000045	ENSP00000312625
ENSGMOP00000017977	ENSP00000253799
ENSGMOP00000013815	ENSP00000245907
ENSGMOP00000004812	ENSP00000307863
ENSGMOP00000017970	ENSP00000336747
ENSGMOP00000002534	ENSP00000368646
ENSGMOP00000014277	ENSP00000216190
ENSGMOP00000000826	ENSP00000426909
ENSGMOP00000013906	ENSP00000290216
ENSGMOP00000012439	ENSP00000349446
ENSGMOP00000016402	ENSP00000362271
ENSGMOP00000000457	ENSP00000346839
ENSGMOP00000007789	ENSP00000310226
ENSGMOP00000001517	ENSP00000358283
ENSGMOP00000000980	ENSP00000356671
ENSGMOP00000007235	ENSP00000226218
ENSGMOP00000008547	ENSP00000262027
ENSGMOP00000000983	ENSP00000242375
ENSGMOP00000009136	ENSP00000325527
ENSGMOP00000014381	ENSP00000313007
ENSGMOP00000011621	ENSP00000333664
ENSGMOP00000017872	ENSP00000296674
ENSGMOP00000014384	ENSP00000381504
ENSGMOP00000001602	ENSP00000418770
ENSGMOP00000008091	ENSP00000323867
ENSGMOP00000003528	ENSP00000293350
ENSGMOP00000011734	ENSP00000264170
ENSGMOP00000001211	ENSP00000244137
ENSGMOP00000011615	ENSP00000440502
ENSGMOP00000004106	ENSP00000234590
ENSGMOP00000007231	ENSP00000373620
ENSGMOP00000005004	ENSP00000267842
ENSGMOP00000008301	ENSP00000389631
ENSGMOP00000007230	ENSP00000259457
ENSGMOP00000011753	ENSP00000274364
ENSGMOP00000020355	ENSP00000346762
ENSGMOP00000000852	ENSP00000484669
ENSGMOP00000002678	ENSP00000317780
ENSGMOP00000003316	ENSP00000256103
ENSGMOP00000001588	ENSP00000376132
ENSGMOP00000004418	ENSP00000358737
ENSGMOP00000002892	ENSP00000307889
ENSGMOP00000012998	ENSP00000365950
ENSGMOP00000005226	ENSP00000480836
ENSGMOP00000003477	ENSP00000432660
ENSGMOP00000008488	ENSP00000216714
ENSGMOP00000011126	ENSP00000321853
ENSGMOP00000011432	ENSP00000308315
ENSGMOP00000011121	ENSP00000356920
ENSGMOP00000003864	ENSP00000360671
ENSGMOP00000012846	ENSP00000339063
ENSGMOP00000016873	ENSP00000285379
ENSGMOP00000011729	ENSP00000357801
ENSGMOP00000008005	ENSP00000339479
ENSGMOP00000004791	ENSP00000263645
ENSGMOP00000008007	ENSP00000164139
ENSGMOP00000001459	ENSP00000379386
ENSGMOP00000020328	ENSP00000382595
ENSGMOP00000006771	ENSP00000354739
ENSGMOP00000007776	ENSP00000255082
ENSGMOP00000018150	ENSP00000370258
ENSGMOP00000004785	ENSP00000364212
ENSGMOP00000019403	ENSP00000300688
ENSGMOP00000009276	ENSP00000255681
ENSGMOP00000012748	ENSP00000402346
ENSGMOP00000002675	ENSP00000369538
ENSGMOP00000000359	ENSP00000303356
ENSGMOP00000004244	ENSP00000432282
ENSGMOP00000017089	ENSP00000480150
ENSGMOP00000008637	ENSP00000238018
ENSGMOP00000011548	ENSP00000375730
ENSGMOP00000008356	ENSP00000236671
ENSGMOP00000011226	ENSP00000273588
ENSGMOP00000006513	ENSP00000358140
ENSGMOP00000005339	ENSP00000288607
ENSGMOP00000005784	ENSP00000175506
ENSGMOP00000011535	ENSP00000245907
ENSGMOP00000008132	ENSP00000449751
ENSGMOP00000002021	ENSP00000347495
ENSGMOP00000006071	ENSP00000379616
ENSGMOP00000015672	ENSP00000416583
ENSGMOP00000020527	ENSP00000317780
ENSGMOP00000008783	ENSP00000363018
ENSGMOP00000014852	ENSP00000232217
ENSGMOP00000002804	ENSP00000219599
ENSGMOP00000021031	ENSP00000366819
ENSGMOP00000018650	ENSP00000379888
ENSGMOP00000007604	ENSP00000452280
ENSGMOP00000010012	ENSP00000408526
ENSGMOP00000009285	ENSP00000378360
ENSGMOP00000009280	ENSP00000308753
ENSGMOP00000020138	ENSP00000294973
ENSGMOP00000008916	ENSP00000340648
ENSGMOP00000017806	ENSP00000215909
ENSGMOP00000005601	ENSP00000445306
ENSGMOP00000006197	ENSP00000258424
ENSGMOP00000005603	ENSP00000225430
ENSGMOP00000012069	ENSP00000242776
ENSGMOP00000008660	ENSP00000290573
ENSGMOP00000015750	ENSP00000358866
ENSGMOP00000010246	ENSP00000303963
ENSGMOP00000014752	ENSP00000350425
ENSGMOP00000014108	ENSP00000356425
ENSGMOP00000002713	ENSP00000296754
ENSGMOP00000002270	ENSP00000385746
ENSGMOP00000007213	ENSP00000265872
ENSGMOP00000013962	ENSP00000387710
ENSGMOP00000003771	ENSP00000346103
ENSGMOP00000013966	ENSP00000417175
ENSGMOP00000019356	ENSP00000353408
ENSGMOP00000021104	ENSP00000370718
ENSGMOP00000014615	ENSP00000377954
ENSGMOP00000008975	ENSP00000399457
ENSGMOP00000021084	ENSP00000215754
ENSGMOP00000015352	ENSP00000219479
ENSGMOP00000019618	ENSP00000378760
ENSGMOP00000002875	ENSP00000001008
ENSGMOP00000002973	ENSP00000360671
ENSGMOP00000017123	ENSP00000389175
ENSGMOP00000009358	ENSP00000342137
ENSGMOP00000014708	ENSP00000323568
ENSGMOP00000014619	ENSP00000310275
ENSGMOP00000002975	ENSP00000307705
ENSGMOP00000000073	ENSP00000377470
ENSGMOP00000000262	ENSP00000442318
ENSGMOP00000000018	ENSP00000286788
ENSGMOP00000009967	ENSP00000365227
ENSGMOP00000015972	ENSP00000389103
ENSGMOP00000018578	ENSP00000265164
ENSGMOP00000002168	ENSP00000221419
ENSGMOP00000012269	ENSP00000261601
ENSGMOP00000004328	ENSP00000265322
ENSGMOP00000004329	ENSP00000394842
ENSGMOP00000005233	ENSP00000351777
ENSGMOP00000016337	ENSP00000270142
ENSGMOP00000002479	ENSP00000380308
ENSGMOP00000017070	ENSP00000361076
ENSGMOP00000001715	ENSP00000355315
ENSGMOP00000001591	ENSP00000408411
ENSGMOP00000010060	ENSP00000310129
ENSGMOP00000015976	ENSP00000220325
ENSGMOP00000004980	ENSP00000325074
ENSGMOP00000016681	ENSP00000351314
ENSGMOP00000016934	ENSP00000360991
ENSGMOP00000004635	ENSP00000307705
ENSGMOP00000013041	ENSP00000340466
ENSGMOP00000019121	ENSP00000300648
ENSGMOP00000003519	ENSP00000231420
ENSGMOP00000016688	ENSP00000265983
ENSGMOP00000008942	ENSP00000311430
ENSGMOP00000001386	ENSP00000325548
ENSGMOP00000000259	ENSP00000295006
ENSGMOP00000000705	ENSP00000376807
ENSGMOP00000017885	ENSP00000228476
ENSGMOP00000003671	ENSP00000253108
ENSGMOP00000000675	ENSP00000336829
ENSGMOP00000002487	ENSP00000419325
ENSGMOP00000003676	ENSP00000357535
ENSGMOP00000019725	ENSP00000367038
ENSGMOP00000000302	ENSP00000307241
ENSGMOP00000016207	ENSP00000365569
ENSGMOP00000007188	ENSP00000345230
ENSGMOP00000000770	ENSP00000253792
ENSGMOP00000008491	ENSP00000248342
ENSGMOP00000005120	ENSP00000430031
ENSGMOP00000002162	ENSP00000353165
ENSGMOP00000011948	ENSP00000371267
ENSGMOP00000005042	ENSP00000348849
ENSGMOP00000000791	ENSP00000363832
ENSGMOP00000013469	ENSP00000362329
ENSGMOP00000014322	ENSP00000399805
ENSGMOP00000007001	ENSP00000323856
ENSGMOP00000009991	ENSP00000261303
ENSGMOP00000012561	ENSP00000264639
ENSGMOP00000012560	ENSP00000222553
ENSGMOP00000013323	ENSP00000277865
ENSGMOP00000014243	ENSP00000252622
ENSGMOP00000012567	ENSP00000254521
ENSGMOP00000012317	ENSP00000337354
ENSGMOP00000000956	ENSP00000362820
ENSGMOP00000000955	ENSP00000308938
ENSGMOP00000004279	ENSP00000426638
ENSGMOP00000004848	ENSP00000223029
ENSGMOP00000000406	ENSP00000369419
ENSGMOP00000001424	ENSP00000318195
ENSGMOP00000001132	ENSP00000358867
ENSGMOP00000012362	ENSP00000376297
ENSGMOP00000003296	ENSP00000296456
ENSGMOP00000008290	ENSP00000243253
ENSGMOP00000013865	ENSP00000262584
ENSGMOP00000005485	ENSP00000276914
ENSGMOP00000015669	ENSP00000379038
ENSGMOP00000003907	ENSP00000378130
ENSGMOP00000008297	ENSP00000262942
ENSGMOP00000001221	ENSP00000482075
ENSGMOP00000014015	ENSP00000463939
ENSGMOP00000008357	ENSP00000430706
ENSGMOP00000000495	ENSP00000386541
ENSGMOP00000008572	ENSP00000358045
ENSGMOP00000010467	ENSP00000452662
ENSGMOP00000002326	ENSP00000299698
ENSGMOP00000010468	ENSP00000346173
ENSGMOP00000010707	ENSP00000362463
ENSGMOP00000007433	ENSP00000347836
ENSGMOP00000008590	ENSP00000385432
ENSGMOP00000013504	ENSP00000361616
ENSGMOP00000013388	ENSP00000269881
ENSGMOP00000019943	ENSP00000338235
ENSGMOP00000007562	ENSP00000489687
ENSGMOP00000012704	ENSP00000215375
ENSGMOP00000004564	ENSP00000323811
ENSGMOP00000010907	ENSP00000306606
ENSGMOP00000001992	ENSP00000247461
ENSGMOP00000005462	ENSP00000309830
ENSGMOP00000019949	ENSP00000401802
ENSGMOP00000011463	ENSP00000379680
ENSGMOP00000007674	ENSP00000274353
ENSGMOP00000011022	ENSP00000450040
ENSGMOP00000009089	ENSP00000316950
ENSGMOP00000008676	ENSP00000408025
ENSGMOP00000006792	ENSP00000280097
ENSGMOP00000009045	ENSP00000286428
ENSGMOP00000011502	ENSP00000393241
ENSGMOP00000015147	ENSP00000345156
ENSGMOP00000014837	ENSP00000364490
ENSGMOP00000011003	ENSP00000472469
ENSGMOP00000011169	ENSP00000358635
ENSGMOP00000001035	ENSP00000400467
ENSGMOP00000014465	ENSP00000262947
ENSGMOP00000015032	ENSP00000360609
ENSGMOP00000012228	ENSP00000380514
ENSGMOP00000011162	ENSP00000281187
ENSGMOP00000009176	ENSP00000354468
ENSGMOP00000003965	ENSP00000316176
ENSGMOP00000001039	ENSP00000344504
ENSGMOP00000005867	ENSP00000447001
ENSGMOP00000015810	ENSP00000330945
ENSGMOP00000005158	ENSP00000441875
ENSGMOP00000010960	ENSP00000386284
ENSGMOP00000019432	ENSP00000305988
ENSGMOP00000014818	ENSP00000414359
ENSGMOP00000013265	ENSP00000346643
ENSGMOP00000009772	ENSP00000346001
ENSGMOP00000013261	ENSP00000385958
ENSGMOP00000013263	ENSP00000368066
ENSGMOP00000017824	ENSP00000329374
ENSGMOP00000005884	ENSP00000309477
ENSGMOP00000003132	ENSP00000365243
ENSGMOP00000009659	ENSP00000427687
ENSGMOP00000015712	ENSP00000377532
ENSGMOP00000006244	ENSP00000339933
ENSGMOP00000006247	ENSP00000352834
ENSGMOP00000007313	ENSP00000309334
ENSGMOP00000002605	ENSP00000314030
ENSGMOP00000007316	ENSP00000291295
ENSGMOP00000002606	ENSP00000367615
ENSGMOP00000003790	ENSP00000264758
ENSGMOP00000020064	ENSP00000307640
ENSGMOP00000019542	ENSP00000307607
ENSGMOP00000019915	ENSP00000264710
ENSGMOP00000009312	ENSP00000269881
ENSGMOP00000011269	ENSP00000252505
ENSGMOP00000009311	ENSP00000361824
ENSGMOP00000009256	ENSP00000365233
ENSGMOP00000020663	ENSP00000234313
ENSGMOP00000003830	ENSP00000377640
ENSGMOP00000012387	ENSP00000428845
ENSGMOP00000004203	ENSP00000382840
ENSGMOP00000000032	ENSP00000371393
ENSGMOP00000004200	ENSP00000262462
ENSGMOP00000014129	ENSP00000278407
ENSGMOP00000018048	ENSP00000419970
ENSGMOP00000010105	ENSP00000299300
ENSGMOP00000015769	ENSP00000358866
ENSGMOP00000015560	ENSP00000317904
ENSGMOP00000000581	ENSP00000447942
ENSGMOP00000003648	ENSP00000338703
ENSGMOP00000005618	ENSP00000283646
ENSGMOP00000018183	ENSP00000404854
ENSGMOP00000000615	ENSP00000369081
ENSGMOP00000017306	ENSP00000432083
ENSGMOP00000000589	ENSP00000280097
ENSGMOP00000000190	ENSP00000211998
ENSGMOP00000003646	ENSP00000429931
ENSGMOP00000001071	ENSP00000319501
ENSGMOP00000016643	ENSP00000216455
ENSGMOP00000017602	ENSP00000345848
ENSGMOP00000000537	ENSP00000331901
ENSGMOP00000009221	ENSP00000392147
ENSGMOP00000002234	ENSP00000420311
ENSGMOP00000000784	ENSP00000371798
ENSGMOP00000018244	ENSP00000357189
ENSGMOP00000014142	ENSP00000263383
ENSGMOP00000019766	ENSP00000362914
ENSGMOP00000017609	ENSP00000240185
ENSGMOP00000011809	ENSP00000303145
ENSGMOP00000012132	ENSP00000307188
ENSGMOP00000005208	ENSP00000363894
ENSGMOP00000005240	ENSP00000377696
ENSGMOP00000016383	ENSP00000346027
ENSGMOP00000013574	ENSP00000445175
ENSGMOP00000010295	ENSP00000381231
ENSGMOP00000005249	ENSP00000361140
